venue_id	latitude	longitude	venue_type	date
4b9694f6f964a5205cd634e3	48.164032	11.562765	Restaurant	Tue Apr 03 18:11:51 +0000 2012
4ade0c9bf964a520136821e3	48.155422	11.588713	Caf	Tue Apr 03 18:30:37 +0000 2012
4ade0ce0f964a5208c6921e3	48.134614	11.572896	Museum	Tue Apr 03 19:00:10 +0000 2012
4bbdc991a0a0c9b6d2f61b0f	48.212380	11.563310	Mall	Tue Apr 03 19:22:50 +0000 2012
4ade0ccef964a520246921e3	48.137162	11.575377	Plaza	Tue Apr 03 19:23:16 +0000 2012
4f493492e4b0e4755db4ee87	48.275636	11.567296	Rest Area	Tue Apr 03 19:44:19 +0000 2012
4b4cc9aff964a520e0be26e3	48.142233	11.570671	Nightclub	Tue Apr 03 20:04:53 +0000 2012
4ccfe9599d87224baeb2513b	48.134198	11.563872	Vegetarian / Vegan Restaurant	Tue Apr 03 20:18:58 +0000 2012
4ade0d29f964a520216b21e3	48.218783	11.624662	Soccer Stadium	Tue Apr 03 20:23:34 +0000 2012
4e464c6062845e1d3c8f68b6	48.139016	11.537445	Neighborhood	Tue Apr 03 20:48:51 +0000 2012
4ade0d29f964a520216b21e3	48.218783	11.624662	Soccer Stadium	Tue Apr 03 20:50:16 +0000 2012
4b5e8ae8f964a5202a9229e3	48.070846	11.376482	Train Station	Tue Apr 03 20:58:34 +0000 2012
4bb9a73c3db7b713886c229a	48.136367	11.562380	Hotel	Tue Apr 03 22:07:27 +0000 2012
4db9aead6a2334682dadea12	48.129860	11.573233	Bank	Wed Apr 04 03:35:24 +0000 2012
4ba26ffff964a520f1f837e3	48.129148	11.574354	Subway	Wed Apr 04 03:35:35 +0000 2012
4ef07961e300f78a2db79740	48.150199	11.682900	Coworking Space	Wed Apr 04 05:36:28 +0000 2012
4bae1281f964a520fc803be3	48.254536	11.444194	Train Station	Wed Apr 04 05:48:12 +0000 2012
4bd09dcf1f89ce72edbc67ea	48.148093	11.624739	Hotel	Wed Apr 04 05:49:38 +0000 2012
4b7dc0ccf964a52077d22fe3	48.181097	11.511231	Plaza	Wed Apr 04 06:00:53 +0000 2012
4e34097da809117a2290a5b8	48.134346	11.579574	Salon / Barbershop	Wed Apr 04 06:01:40 +0000 2012
4b4ae93df964a520c08f26e3	48.180350	11.593993	Office	Wed Apr 04 06:14:47 +0000 2012
4c343785ed37a59305916e03	48.135963	11.524428	College Academic Building	Wed Apr 04 06:21:16 +0000 2012
4b0fde60f964a520ac6523e3	48.127802	11.604223	Train Station	Wed Apr 04 06:27:56 +0000 2012
4e2d4cd2c65bcaf400413ce1	48.116485	11.603127	Office	Wed Apr 04 06:52:10 +0000 2012
4b86ad71f964a520b99531e3	48.149814	11.548626	Office	Wed Apr 04 07:00:52 +0000 2012
4b86ad71f964a520b99531e3	48.149814	11.548626	Office	Wed Apr 04 07:01:18 +0000 2012
4caf34c3c5e6a1cd05cbcaf6	48.142995	11.546845	Coworking Space	Wed Apr 04 07:02:31 +0000 2012
4b669426f964a520a0242be3	48.098478	11.533503	Office	Wed Apr 04 07:23:37 +0000 2012
4ecb993de5fab5d2b378b96d	48.181385	11.513214	Salon / Barbershop	Wed Apr 04 07:33:15 +0000 2012
4c35cc16213c2d7f179e3a5d	48.180998	11.510814	Light Rail	Wed Apr 04 07:34:26 +0000 2012
4bae4919f964a520599d3be3	48.148479	11.616476	Subway	Wed Apr 04 07:42:12 +0000 2012
4b0674e2f964a520f4eb22e3	48.140547	11.555772	Train Station	Wed Apr 04 07:45:55 +0000 2012
4ade0c8cf964a520c06721e3	48.141532	11.559364	Hotel	Wed Apr 04 07:47:27 +0000 2012
4b88fdd4f964a5201b1732e3	48.160270	11.574868	Caf	Wed Apr 04 07:49:33 +0000 2012
