auslastung	timestamp
114	2016-08-08 11:33:00
115	2016-08-08 11:36:00
116	2016-08-08 11:39:00
117	2016-08-08 11:41:00
118	2016-08-08 11:42:00
117	2016-08-08 11:49:00
118	2016-08-08 11:51:00
119	2016-08-08 11:58:00
118	2016-08-08 12:00:00
119	2016-08-08 12:03:00
118	2016-08-08 12:04:00
117	2016-08-08 12:14:00
116	2016-08-08 12:15:00
117	2016-08-08 12:16:00
116	2016-08-08 12:22:00
117	2016-08-08 12:25:00
118	2016-08-08 12:29:00
119	2016-08-08 12:32:00
117	2016-08-08 12:33:00
116	2016-08-08 12:41:00
115	2016-08-08 12:43:00
114	2016-08-08 12:49:00
113	2016-08-08 13:01:00
112	2016-08-08 13:10:00
113	2016-08-08 13:11:00
112	2016-08-08 13:15:00
113	2016-08-08 13:18:00
112	2016-08-08 13:20:00
111	2016-08-08 13:27:00
110	2016-08-08 13:29:00
109	2016-08-08 13:31:00
110	2016-08-08 13:37:00
111	2016-08-08 13:41:00
110	2016-08-08 14:02:00
111	2016-08-08 14:04:00
110	2016-08-08 14:06:00
109	2016-08-08 14:11:00
108	2016-08-08 14:12:00
107	2016-08-08 14:15:00
106	2016-08-08 14:20:00
105	2016-08-08 14:23:00
104	2016-08-08 14:25:00
103	2016-08-08 14:28:00
102	2016-08-08 14:29:00
101	2016-08-08 14:31:00
100	2016-08-08 14:32:00
99	2016-08-08 14:40:00
98	2016-08-08 14:41:00
97	2016-08-08 14:44:00
99	2016-08-08 14:48:00
97	2016-08-08 14:54:00
96	2016-08-08 14:55:00
94	2016-08-08 15:00:00
95	2016-08-08 15:09:00
94	2016-08-08 15:15:00
95	2016-08-08 15:20:00
94	2016-08-08 15:21:00
93	2016-08-08 15:25:00
92	2016-08-08 15:31:00
91	2016-08-08 15:32:00
90	2016-08-08 15:34:00
88	2016-08-08 15:41:00
87	2016-08-08 15:42:00
86	2016-08-08 15:47:00
84	2016-08-08 15:56:00
83	2016-08-08 15:57:00
82	2016-08-08 15:59:00
81	2016-08-08 16:05:00
80	2016-08-08 16:07:00
79	2016-08-08 16:09:00
78	2016-08-08 16:12:00
79	2016-08-08 16:14:00
78	2016-08-08 16:16:00
79	2016-08-08 16:20:00
77	2016-08-08 16:24:00
75	2016-08-08 16:25:00
77	2016-08-08 16:26:00
78	2016-08-08 16:31:00
79	2016-08-08 16:38:00
80	2016-08-08 16:41:00
79	2016-08-08 16:44:00
78	2016-08-08 16:45:00
77	2016-08-08 16:46:00
76	2016-08-08 16:50:00
75	2016-08-08 16:53:00
76	2016-08-08 16:57:00
75	2016-08-08 17:00:00
74	2016-08-08 17:00:00
73	2016-08-08 17:01:00
72	2016-08-08 17:02:00
70	2016-08-08 17:15:00
68	2016-08-08 17:18:00
67	2016-08-08 17:20:00
