auslastung	timestamp
114	8/8/2016 11:33
115	8/8/2016 11:36
116	8/8/2016 11:39
117	8/8/2016 11:41
118	8/8/2016 11:42
117	8/8/2016 11:49
118	8/8/2016 11:51
119	8/8/2016 11:58
118	8/8/2016 12:00
119	8/8/2016 12:03
118	8/8/2016 12:04
117	8/8/2016 12:14
116	8/8/2016 12:15
117	8/8/2016 12:16
116	8/8/2016 12:22
117	8/8/2016 12:25
118	8/8/2016 12:29
119	8/8/2016 12:32
117	8/8/2016 12:33
116	8/8/2016 12:41
115	8/8/2016 12:43
114	8/8/2016 12:49
113	8/8/2016 13:01
112	8/8/2016 13:10
113	8/8/2016 13:11
112	8/8/2016 13:15
113	8/8/2016 13:18
112	8/8/2016 13:20
111	8/8/2016 13:27
110	8/8/2016 13:29
109	8/8/2016 13:31
110	8/8/2016 13:37
111	8/8/2016 13:41
110	8/8/2016 14:02
111	8/8/2016 14:04
110	8/8/2016 14:06
109	8/8/2016 14:11
108	8/8/2016 14:12
107	8/8/2016 14:15
106	8/8/2016 14:20
105	8/8/2016 14:23
104	8/8/2016 14:25
103	8/8/2016 14:28
102	8/8/2016 14:29
101	8/8/2016 14:31
100	8/8/2016 14:32
99	8/8/2016 14:40
98	8/8/2016 14:41
97	8/8/2016 14:44
99	8/8/2016 14:48
97	8/8/2016 14:54
96	8/8/2016 14:55
94	8/8/2016 15:00
95	8/8/2016 15:09
94	8/8/2016 15:15
95	8/8/2016 15:20
94	8/8/2016 15:21
93	8/8/2016 15:25
92	8/8/2016 15:31
91	8/8/2016 15:32
90	8/8/2016 15:34
88	8/8/2016 15:41
87	8/8/2016 15:42
86	8/8/2016 15:47
84	8/8/2016 15:56
83	8/8/2016 15:57
82	8/8/2016 15:59
81	8/8/2016 16:05
80	8/8/2016 16:07
79	8/8/2016 16:09
78	8/8/2016 16:12
79	8/8/2016 16:14
78	8/8/2016 16:16
79	8/8/2016 16:20
77	8/8/2016 16:24
75	8/8/2016 16:25
77	8/8/2016 16:26
78	8/8/2016 16:31
79	8/8/2016 16:38
80	8/8/2016 16:41
79	8/8/2016 16:44
78	8/8/2016 16:45
77	8/8/2016 16:46
76	8/8/2016 16:50
75	8/8/2016 16:53
76	8/8/2016 16:57
75	8/8/2016 17:00
74	8/8/2016 17:00
73	8/8/2016 17:01
72	8/8/2016 17:02
70	8/8/2016 17:15
68	8/8/2016 17:18
67	8/8/2016 17:20
66	8/8/2016 17:21
67	8/8/2016 17:23
66	8/8/2016 17:29
65	8/8/2016 17:31
63	8/8/2016 17:33
62	8/8/2016 17:34
61	8/8/2016 17:36
60	8/8/2016 17:39
61	8/8/2016 17:39
60	8/8/2016 17:41
59	8/8/2016 17:43
58	8/8/2016 17:44
55	8/8/2016 17:46
54	8/8/2016 17:48
53	8/8/2016 17:50
52	8/8/2016 17:51
51	8/8/2016 17:56
50	8/8/2016 18:01
49	8/8/2016 18:06
48	8/8/2016 18:11
49	8/8/2016 18:13
47	8/8/2016 18:13
46	8/8/2016 18:17
45	8/8/2016 18:19
44	8/8/2016 18:21
42	8/8/2016 18:25
40	8/8/2016 18:26
41	8/8/2016 18:27
42	8/8/2016 18:30
41	8/8/2016 18:34
40	8/8/2016 18:35
39	8/8/2016 18:39
38	8/8/2016 18:40
39	8/8/2016 18:40
40	8/8/2016 18:43
39	8/8/2016 18:43
38	8/8/2016 18:46
36	8/8/2016 18:48
35	8/8/2016 18:51
34	8/8/2016 18:51
35	8/8/2016 18:54
34	8/8/2016 18:55
35	8/8/2016 19:00
37	8/8/2016 19:01
35	8/8/2016 19:02
34	8/8/2016 19:05
33	8/8/2016 19:06
32	8/8/2016 19:09
31	8/8/2016 19:10
30	8/8/2016 19:14
29	8/8/2016 19:15
28	8/8/2016 19:16
27	8/8/2016 19:21
28	8/8/2016 19:23
29	8/8/2016 19:26
28	8/8/2016 19:30
27	8/8/2016 19:32
26	8/8/2016 19:39
25	8/8/2016 19:40
24	8/8/2016 19:48
23	8/8/2016 19:51
24	8/8/2016 19:58
23	8/8/2016 20:00
22	8/8/2016 20:02
23	8/8/2016 20:12
22	8/8/2016 20:29
21	8/8/2016 20:32
22	8/8/2016 20:44
21	8/8/2016 20:54
19	8/8/2016 20:56
18	8/8/2016 21:11
17	8/8/2016 21:24
18	8/8/2016 21:25
19	8/8/2016 21:28
18	8/8/2016 21:30
16	8/8/2016 21:32
15	8/8/2016 21:40
14	8/8/2016 21:50
13	8/8/2016 21:58
12	8/8/2016 22:01
13	8/8/2016 22:18
12	8/8/2016 22:19
11	8/8/2016 22:29
10	8/8/2016 22:30
9	8/8/2016 22:32
8	8/8/2016 22:40
7	8/8/2016 22:49
6	8/8/2016 22:50
7	8/8/2016 23:06
6	8/8/2016 23:35
5	8/9/2016 0:18
6	8/9/2016 0:29
5	8/9/2016 0:40
4	8/9/2016 1:33
5	8/9/2016 2:37
6	8/9/2016 3:18
5	8/9/2016 3:19
4	8/9/2016 3:20
3	8/9/2016 4:59
4	8/9/2016 6:26
5	8/9/2016 6:34
6	8/9/2016 6:40
8	8/9/2016 6:42
9	8/9/2016 6:46
10	8/9/2016 6:48
11	8/9/2016 7:01
12	8/9/2016 7:06
13	8/9/2016 7:07
14	8/9/2016 7:09
15	8/9/2016 7:10
17	8/9/2016 7:12
19	8/9/2016 7:13
20	8/9/2016 7:15
21	8/9/2016 7:22
22	8/9/2016 7:25
23	8/9/2016 7:26
24	8/9/2016 7:28
25	8/9/2016 7:33
26	8/9/2016 7:35
28	8/9/2016 7:39
29	8/9/2016 7:40
30	8/9/2016 7:41
31	8/9/2016 7:43
33	8/9/2016 7:48
34	8/9/2016 7:49
35	8/9/2016 7:50
36	8/9/2016 7:52
37	8/9/2016 7:54
38	8/9/2016 7:55
39	8/9/2016 7:56
40	8/9/2016 7:58
41	8/9/2016 7:59
44	8/9/2016 8:00
47	8/9/2016 8:02
49	8/9/2016 8:05
50	8/9/2016 8:06
52	8/9/2016 8:09
54	8/9/2016 8:10
55	8/9/2016 8:12
56	8/9/2016 8:13
57	8/9/2016 8:16
59	8/9/2016 8:17
60	8/9/2016 8:18
62	8/9/2016 8:19
63	8/9/2016 8:20
64	8/9/2016 8:25
65	8/9/2016 8:26
66	8/9/2016 8:27
67	8/9/2016 8:29
